Nacionalidad,Provincias,Localidades,codes
Argentina,Santiago del Estero,Pampa de los Guanacos,1315
Argentina,Santiago del Estero,Quimilí,1369
Argentina,Santiago del Estero,San Pedro,1445
Argentina,Santiago del Estero,Santiago del Estero,1473
Argentina,Santiago del Estero,Sumampa,1489
Argentina,Santiago del Estero,Suncho Corral,1491
Argentina,Santiago del Estero,Termas de Río Hondo,1501
Argentina,Santiago del Estero,Tintina,1506
Argentina,Santiago del Estero,Villa Atamisqui,1539
Argentina,Santiago del Estero,Villa General Mitre,1554
Argentina,Santiago del Estero,Villa Ojo de Agua,1569
Argentina,Tierra del Fuego,Río Grande,1392
Argentina,Tierra del Fuego,Tolhuin,1508
Argentina,Tierra del Fuego,Ushuaia,1524
Argentina,San Luis,Aguilares,642
Argentina,Tucumán,Alderetes,646
Argentina,Tucumán,Bella Vista,690
Argentina,Tucumán,Burruyacú,705
Argentina,Tucumán,Departamento de Burruyacú,840
Argentina,Tucumán,Departamento de Capital,852
Argentina,Tucumán,Departamento de Cruz Alta,870
Argentina,Tucumán,Departamento de Famaillá,882
Argentina,Tucumán,Departamento de Graneros,900
Argentina,Tucumán,Departamento de La Cocha,917
Argentina,Tucumán,Departamento de Lules,933
Argentina,Tucumán,Departamento de Monteros,947
Argentina,Tucumán,Departamento de Río Chico,973
Argentina,Tucumán,Departamento de Simoca,1015
Argentina,Tucumán,Departamento de Trancas,1023
Argentina,Tucumán,Departamento de Yerba Buena,1034
Argentina,Tucumán,Famaillá,1074
Argentina,Tucumán,Graneros,1125
Argentina,Tucumán,La Cocha,1182
Argentina,Tucumán,Monteros,1291
Argentina,Tucumán,San Miguel de Tucumán,1444
Argentina,Tucumán,Simoca,1488
Argentina,Tucumán,Tafí del Valle,1496
Argentina,Tucumán,Tafí Viejo,1495
Argentina,Tucumán,Trancas,1511
Argentina,Tucumán,Yerba Buena,1596
Afghanistan,Other,Other,1
Alemania,Other,Other,2
Albania,Other,Other,3
Algeria,Other,Other,4
American Samoa,Other,Other,5
Andorra,Other,Other,6
Angola,Other,Other,7
Anguilla,Other,Other,8
Antártida,Other,Other,9
Antigua And Barbuda,Other,Other,10
Armenia,Other,Other,12
Aruba,Other,Other,13
Australia,Other,Other,14
Austria,Other,Other,15
Azerbaijan,Other,Other,16
The Bahamas,Other,Other,17
Bahrain,Other,Other,18
Bangladesh,Other,Other,19
Barbados,Other,Other,20
Belarus,Other,Other,21
Belgium,Other,Other,22
Belize,Other,Other,23
Benin,Other,Other,24
Bermuda,Other,Other,25
Bhutan,Other,Other,26
Bolivia,Other,Other,27
Bosnia and Herzegovina,Other,Other,28
Botswana,Other,Other,29
Bouvet Island,Other,Other,30
Brazil,Other,Other,31
British Indian Ocean Territory,Other,Other,32
Brunei,Other,Other,33
Bulgaria,Other,Other,34
Burkina Faso,Other,Other,35
Burundi,Other,Other,36
Cambodia,Other,Other,37
Cameroon,Other,Other,38
Canada,Other,Other,39
Cape Verde,Other,Other,40
Cayman Islands,Other,Other,41
Central African Republic,Other,Other,42
Chad,Other,Other,43
Chile,Other,Other,44
China,Other,Other,45
Christmas Island,Other,Other,46
Cocos (Keeling) Islands,Other,Other,47
Colombia,Other,Other,48
Comoros,Other,Other,49
Congo,Other,Other,50
Democratic Republic of the Congo,Other,Other,51
Cook Islands,Other,Other,52
Costa Rica,Other,Other,53
Cote D'Ivoire (Ivory Coast),Other,Other,54
Croatia,Other,Other,55
Cuba,Other,Other,56
Cyprus,Other,Other,57
Czech Republic,Other,Other,58
Denmark,Other,Other,59
Djibouti,Other,Other,60
Dominica,Other,Other,61
Dominican Republic,Other,Other,62
East Timor,Other,Other,63
Ecuador,Other,Other,64
Egypt,Other,Other,65
El Salvador,Other,Other,66
Equatorial Guinea,Other,Other,67
Eritrea,Other,Other,68
Estonia,Other,Other,69
Ethiopia,Other,Other,70
Falkland Islands,Other,Other,71
Faroe Islands,Other,Other,72
Fiji Islands,Other,Other,73
Finland,Other,Other,74
France,Other,Other,75
French Guiana,Other,Other,76
French Polynesia,Other,Other,77
French Southern Territories,Other,Other,78
Gabon,Other,Other,79
Gambia The,Other,Other,80
Georgia,Other,Other,81
Germany,Other,Other,82
Ghana,Other,Other,83
Gibraltar,Other,Other,84
Greece,Other,Other,85
Greenland,Other,Other,86
Grenada,Other,Other,87
Guadeloupe,Other,Other,88
Guam,Other,Other,89
Guatemala,Other,Other,90
Guernsey and Alderney,Other,Other,91
Guinea,Other,Other,92
GuineaBissau,Other,Other,93
Guyana,Other,Other,94
Haiti,Other,Other,95
Heard Island and McDonald Islands,Other,Other,96
Honduras,Other,Other,97
Hong Kong S.A.R.,Other,Other,98
Hungary,Other,Other,99
Iceland,Other,Other,100
India,Other,Other,101
Indonesia,Other,Other,102
Iran,Other,Other,103
Iraq,Other,Other,104
Ireland,Other,Other,105
Israel,Other,Other,106
Italy,Other,Other,107
Jamaica,Other,Other,108
Japan,Other,Other,109
Jersey,Other,Other,110
Jordan,Other,Other,111
Kazakhstan,Other,Other,112
Kenya,Other,Other,113
Kiribati,Other,Other,114
North Korea,Other,Other,115
South Korea,Other,Other,116
Kuwait,Other,Other,117
Kyrgyzstan,Other,Other,118
Laos,Other,Other,119
Latvia,Other,Other,120
Lebanon,Other,Other,121
Lesotho,Other,Other,122
Liberia,Other,Other,123
Libya,Other,Other,124
Liechtenstein,Other,Other,125
Lithuania,Other,Other,126
Luxembourg,Other,Other,127
Macau S.A.R.,Other,Other,128
Macedonia,Other,Other,129
Madagascar,Other,Other,130
Malawi,Other,Other,131
Malaysia,Other,Other,132
Maldives,Other,Other,133
Mali,Other,Other,134
Malta,Other,Other,135
Man (Isle of),Other,Other,136
Marshall Islands,Other,Other,137
Martinique,Other,Other,138
Mauritania,Other,Other,139
Mauritius,Other,Other,140
Mayotte,Other,Other,141
Mexico,Other,Other,142
Micronesia,Other,Other,143
Moldova,Other,Other,144
Monaco,Other,Other,145
Mongolia,Other,Other,146
Montenegro,Other,Other,147
Montserrat,Other,Other,148
Morocco,Other,Other,149
Mozambique,Other,Other,150
Myanmar,Other,Other,151
Namibia,Other,Other,152
Nauru,Other,Other,153
Nepal,Other,Other,154
"Bonaire, Sint Eustatius and Saba",Other,Other,155
Netherlands,Other,Other,156
New Caledonia,Other,Other,157
New Zealand,Other,Other,158
Nicaragua,Other,Other,159
Niger,Other,Other,160
Nigeria,Other,Other,161
Niue,Other,Other,162
Norfolk Island,Other,Other,163
Northern Mariana Islands,Other,Other,164
Norway,Other,Other,165
Oman,Other,Other,166
Pakistan,Other,Other,167
Palau,Other,Other,168
Palestinian Territory Occupied,Other,Other,169
Panama,Other,Other,170
Papua new Guinea,Other,Other,171
Paraguay,Other,Other,172
Peru,Other,Other,173
Philippines,Other,Other,174
Pitcairn Island,Other,Other,175
Poland,Other,Other,176
Portugal,Other,Other,177
Puerto Rico,Other,Other,178
Qatar,Other,Other,179
Reunion,Other,Other,180
Romania,Other,Other,181
Russia,Other,Other,182
Rwanda,Other,Other,183
Saint Helena,Other,Other,184
Saint Kitts And Nevis,Other,Other,185
Saint Lucia,Other,Other,186
Saint Pierre and Miquelon,Other,Other,187
Saint Vincent And The Grenadines,Other,Other,188
SaintBarthelemy,Other,Other,189
SaintMartin (French part),Other,Other,190
Samoa,Other,Other,191
San Marino,Other,Other,192
Sao Tome and Principe,Other,Other,193
Saudi Arabia,Other,Other,194
Senegal,Other,Other,195
Serbia,Other,Other,196
Seychelles,Other,Other,197
Sierra Leone,Other,Other,198
Singapore,Other,Other,199
Slovakia,Other,Other,200
Slovenia,Other,Other,201
Solomon Islands,Other,Other,202
Somalia,Other,Other,203
South Africa,Other,Other,204
South Georgia,Other,Other,205
South Sudan,Other,Other,206
Spain,Other,Other,207
Sri Lanka,Other,Other,208
Sudan,Other,Other,209
Suriname,Other,Other,210
Svalbard And Jan Mayen Islands,Other,Other,211
Swaziland,Other,Other,212
Sweden,Other,Other,213
Switzerland,Other,Other,214
Syria,Other,Other,215
Taiwan,Other,Other,216
Tajikistan,Other,Other,217
Tanzania,Other,Other,218
Thailand,Other,Other,219
Togo,Other,Other,220
Tokelau,Other,Other,221
Tonga,Other,Other,222
Trinidcountryad And Tobago,Other,Other,223
Tunisia,Other,Other,224
Turkey,Other,Other,225
Turkmenistan,Other,Other,226
Turks And Caicos Islands,Other,Other,227
Tuvalu,Other,Other,228
Uganda,Other,Other,229
Ukraine,Other,Other,230
United Arab Emirates,Other,Other,231
United Kingdom,Other,Other,232
United States,Other,Other,233
United States Minor Outlying Islands,Other,Other,234
Uruguay,Other,Other,235
Uzbekistan,Other,Other,236
Vanuatu,Other,Other,237
Vatican City State (Holy See),Other,Other,238
Venezuela,Other,Other,239
Vietnam,Other,Other,240
Virgin Islands (British),Other,Other,241
Virgin Islands (US),Other,Other,242
Wallis And Futuna Islands,Other,Other,243
Western Sahara,Other,Other,244
Yemen,Other,Other,245
Zambia,Other,Other,246
Zimbabwe,Other,Other,247
